feature_name
vars-clauses-ratio
POSNEG-RATIO-CLAUSE-mean
POSNEG-RATIO-CLAUSE-coeff-variation
POSNEG-RATIO-CLAUSE-max
POSNEG-RATIO-CLAUSE-entropy
VCG-CLAUSE-mean
VCG-CLAUSE-coeff-variation
VCG-CLAUSE-min
VCG-CLAUSE-max
VCG-CLAUSE-entropy
VCG-VAR-mean
VCG-VAR-coeff-variation
VCG-VAR-min
VCG-VAR-max
VCG-VAR-entropy
POSNEG-RATIO-VAR-mean
POSNEG-RATIO-VAR-stdev
POSNEG-RATIO-VAR-max
POSNEG-RATIO-VAR-entropy
HORNY-VAR-mean
HORNY-VAR-coeff-variation
HORNY-VAR-min
HORNY-VAR-max
HORNY-VAR-entropy
horn-clauses-fraction
VG-mean
VG-coeff-variation
VG-min
VG-max
CG-mean
CG-min
CG-entropy
cluster-coeff-mean
cluster-coeff-min
cluster-coeff-entropy
v_nd_p_node_min
v_nd_p_node_max
v_nd_p_node_mode
v_nd_p_node_mean
v_nd_p_node_std
v_nd_p_node_zeros
v_nd_p_node_entropy
v_nd_p_node_q1
v_nd_p_node_q2
v_nd_p_node_q3
v_nd_p_node_val_rate
v_nd_p_weights_min
v_nd_p_weights_max
v_nd_p_weights_mode
v_nd_p_weights_mean
v_nd_p_weights_std
v_nd_p_weights_zeros
v_nd_p_weights_entropy
v_nd_p_weights_q1
v_nd_p_weights_q2
v_nd_p_weights_q3
v_nd_p_weights_val_rate
v_nd_n_node_min
v_nd_n_node_max
v_nd_n_node_mode
v_nd_n_node_mean
v_nd_n_node_std
v_nd_n_node_zeros
v_nd_n_node_entropy
v_nd_n_node_q1
v_nd_n_node_q2
v_nd_n_node_q3
v_nd_n_node_val_rate
v_nd_n_weights_min
v_nd_n_weights_max
v_nd_n_weights_mode
v_nd_n_weights_mean
v_nd_n_weights_std
v_nd_n_weights_zeros
v_nd_n_weights_entropy
v_nd_n_weights_q1
v_nd_n_weights_q2
v_nd_n_weights_q3
v_nd_n_weights_val_rate
c_nd_p_node_min
c_nd_p_node_max
c_nd_p_node_mode
c_nd_p_node_mean
c_nd_p_node_std
c_nd_p_node_zeros
c_nd_p_node_entropy
c_nd_p_node_q1
c_nd_p_node_q2
c_nd_p_node_q3
c_nd_p_node_val_rate
c_nd_p_weights_min
c_nd_p_weights_max
c_nd_p_weights_mode
c_nd_p_weights_mean
c_nd_p_weights_std
c_nd_p_weights_zeros
c_nd_p_weights_entropy
c_nd_p_weights_q1
c_nd_p_weights_q2
c_nd_p_weights_q3
c_nd_p_weights_val_rate
c_nd_n_node_min
c_nd_n_node_max
c_nd_n_node_mode
c_nd_n_node_mean
c_nd_n_node_std
c_nd_n_node_zeros
c_nd_n_node_entropy
c_nd_n_node_q1
c_nd_n_node_q2
c_nd_n_node_q3
c_nd_n_node_val_rate
c_nd_n_weights_min
c_nd_n_weights_max
c_nd_n_weights_mode
c_nd_n_weights_mean
c_nd_n_weights_std
c_nd_n_weights_zeros
c_nd_n_weights_entropy
c_nd_n_weights_q1
c_nd_n_weights_q2
c_nd_n_weights_q3
c_nd_n_weights_val_rate
vg_al_node_min
vg_al_node_max
vg_al_node_mode
vg_al_node_mean
vg_al_node_std
vg_al_node_zeros
vg_al_node_entropy
vg_al_node_q1
vg_al_node_q2
vg_al_node_q3
vg_al_node_val_rate
vg_al_weights_min
vg_al_weights_max
vg_al_weights_mode
vg_al_weights_mean
vg_al_weights_std
vg_al_weights_zeros
vg_al_weights_entropy
vg_al_weights_q1
vg_al_weights_q2
vg_al_weights_q3
vg_al_weights_val_rate
and_node_min
and_node_max
and_node_mode
and_node_mean
and_node_std
and_node_zeros
and_node_entropy
and_node_q1
and_node_q2
and_node_q3
and_node_val_rate
and_weights_min
and_weights_max
and_weights_mode
and_weights_mean
and_weights_std
and_weights_zeros
and_weights_entropy
and_weights_q1
and_weights_q2
and_weights_q3
and_weights_val_rate
band_node_min
band_node_max
band_node_mode
band_node_mean
band_node_std
band_node_zeros
band_node_entropy
band_node_q1
band_node_q2
band_node_q3
band_node_val_rate
band_weights_min
band_weights_max
band_weights_mode
band_weights_mean
band_weights_std
band_weights_zeros
band_weights_entropy
band_weights_q1
band_weights_q2
band_weights_q3
band_weights_val_rate
exo_node_min
exo_node_max
exo_node_mode
exo_node_mean
exo_node_std
exo_node_zeros
exo_node_entropy
exo_node_q1
exo_node_q2
exo_node_q3
exo_node_val_rate
exo_weights_min
exo_weights_max
exo_weights_mode
exo_weights_mean
exo_weights_std
exo_weights_zeros
exo_weights_entropy
exo_weights_q1
exo_weights_q2
exo_weights_q3
exo_weights_val_rate
rwh_0_mean
rwh_0_coeff
rwh_0_min
rwh_0_max
rwh_1_mean
rwh_1_coeff
rwh_1_min
rwh_1_max
rwh_2_mean
rwh_2_coeff
rwh_2_min
rwh_2_max
DIAMETER-mean
DIAMETER-coeff-variation
DIAMETER-min
DIAMETER-max
DIAMETER-entropy
cl-num-mean
cl-num-coeff-variation
cl-num-max
cl-num-q90
cl-num-q10
cl-num-q75
cl-num-q25
cl-num-q50
cl-size-mean
cl-size-min
cl-size-max
cl-size-q90
cl-size-q10
cl-size-q75
cl-size-q25
cl-size-q50
SP-bias-mean
SP-bias-coeff-variation
SP-bias-min
SP-bias-max
SP-bias-q90
SP-bias-q10
SP-bias-q75
SP-bias-q25
SP-bias-q50
SP-unconstraint-mean
SP-unconstraint-coeff-variation
SP-unconstraint-max
SP-unconstraint-q90
SP-unconstraint-q10
SP-unconstraint-q75
SP-unconstraint-q25
SP-unconstraint-q50
